filepath,label
images/healthy/04a78ef00c5245e0_12846.jpg,0
images/healthy/04a78ef00c5245e0_12847.jpg,0
images/healthy/04a78ef00c5245e0_12848.jpg,0
images/healthy/04a78ef00c5245e0_12849.jpg,0
images/healthy/04a78ef00c5245e0_12850.jpg,0
images/healthy/04a78ef00c5245e0_12851.jpg,0
images/healthy/04a78ef00c5245e0_12852.jpg,0
images/healthy/04a78ef00c5245e0_12853.jpg,0
images/healthy/04a78ef00c5245e0_12854.jpg,0
images/healthy/04a78ef00c5245e0_12855.jpg,0
images/healthy/04a78ef00c5245e0_12856.jpg,0
images/healthy/04a78ef00c5245e0_12857.jpg,0
images/healthy/04a78ef00c5245e0_12858.jpg,0
images/healthy/04a78ef00c5245e0_12859.jpg,0
images/healthy/04a78ef00c5245e0_12860.jpg,0
images/healthy/04a78ef00c5245e0_12861.jpg,0
images/healthy/04a78ef00c5245e0_12862.jpg,0
images/healthy/04a78ef00c5245e0_12863.jpg,0
images/healthy/04a78ef00c5245e0_12864.jpg,0
images/healthy/04a78ef00c5245e0_12865.jpg,0
images/healthy/04a78ef00c5245e0_12866.jpg,0
images/healthy/04a78ef00c5245e0_12867.jpg,0
images/healthy/04a78ef00c5245e0_12868.jpg,0
images/healthy/04a78ef00c5245e0_12869.jpg,0
images/healthy/04a78ef00c5245e0_12870.jpg,0
images/healthy/04a78ef00c5245e0_12871.jpg,0
images/healthy/04a78ef00c5245e0_12872.jpg,0
images/healthy/04a78ef00c5245e0_12873.jpg,0
images/healthy/04a78ef00c5245e0_12874.jpg,0
images/healthy/04a78ef00c5245e0_12875.jpg,0
images/healthy/04a78ef00c5245e0_12876.jpg,0
images/healthy/04a78ef00c5245e0_12877.jpg,0
images/healthy/04a78ef00c5245e0_12878.jpg,0
images/healthy/04a78ef00c5245e0_12879.jpg,0
images/healthy/04a78ef00c5245e0_12880.jpg,0
images/healthy/04a78ef00c5245e0_12881.jpg,0
images/healthy/04a78ef00c5245e0_12882.jpg,0
images/healthy/04a78ef00c5245e0_12883.jpg,0
images/healthy/04a78ef00c5245e0_12884.jpg,0
images/healthy/04a78ef00c5245e0_12885.jpg,0
images/healthy/04a78ef00c5245e0_12886.jpg,0
images/healthy/04a78ef00c5245e0_12887.jpg,0
images/healthy/04a78ef00c5245e0_12888.jpg,0
images/healthy/04a78ef00c5245e0_12889.jpg,0
images/healthy/04a78ef00c5245e0_12890.jpg,0
images/healthy/04a78ef00c5245e0_12891.jpg,0
images/healthy/04a78ef00c5245e0_12892.jpg,0
images/healthy/04a78ef00c5245e0_12893.jpg,0
images/healthy/04a78ef00c5245e0_12894.jpg,0
images/healthy/04a78ef00c5245e0_12895.jpg,0
images/healthy/04a78ef00c5245e0_12896.jpg,0
images/healthy/04a78ef00c5245e0_12897.jpg,0
images/healthy/04a78ef00c5245e0_12898.jpg,0
images/healthy/04a78ef00c5245e0_12899.jpg,0
images/healthy/04a78ef00c5245e0_12900.jpg,0
images/healthy/04a78ef00c5245e0_12901.jpg,0
images/healthy/04a78ef00c5245e0_12902.jpg,0
images/healthy/04a78ef00c5245e0_12903.jpg,0
images/healthy/04a78ef00c5245e0_12904.jpg,0
images/healthy/04a78ef00c5245e0_12905.jpg,0
images/healthy/04a78ef00c5245e0_12906.jpg,0
images/healthy/04a78ef00c5245e0_12907.jpg,0
images/healthy/04a78ef00c5245e0_12908.jpg,0
images/healthy/04a78ef00c5245e0_12909.jpg,0
images/healthy/04a78ef00c5245e0_12910.jpg,0
images/healthy/04a78ef00c5245e0_12911.jpg,0
images/healthy/04a78ef00c5245e0_12912.jpg,0
images/healthy/04a78ef00c5245e0_12913.jpg,0
images/healthy/04a78ef00c5245e0_12914.jpg,0
images/healthy/04a78ef00c5245e0_12915.jpg,0
images/healthy/04a78ef00c5245e0_12916.jpg,0
